University Name,University State,Private/Public,SAT verbal,SAT math,Academics (1 5),Social (1 5),Quality of Life (1 5)
Adelphi,New York,private,500,475,2,2,2
Boston College,Massachusetts,private,500,550,4,5,3
Boston University,Massachusetts,private,550,575,4,4,3
Cal Tech,California,private,650,780,5,1,3
City College NY,New York,public,480,525,3,2,2
Columbia,New York,private,625,650,5,3,3
Harvard,Massachusetts,private,700,675,5,3,4
Hofstra,New York,public,500,525,2,2,2
MIT,Massachusetts,private,650,750,5,3,3
Stanford,California,private,625,675,5,4,5
Berkely,California,public,530,600,5,3,3
Davis,California,public,550,600,4,4,4
UCLA,California,public,500,550,4,3,3
San Diego,California,public,550,600,4,4,4
USC,California,private,475,525,4,4,3
Worcester,Massachusetts,private,550,560,4,3,4
Queens,New York,public,450,450,4,3,3
University of Lowell,Massachusetts,public,472,535,3,3,3
University of Mass.,Massachusetts,public,480,510,3,3,3
University at Buffalo,New York,public,450,525,4,2,2
